bin_start,bin_end,bin_index,count,count_neg_v7,mean_V11,total_amount
-0.2000000000,-0.1000000000,-2,23117,4660,-0.3488515632,381969332.5600000620
-0.1000000000,0.0000000000,-1,22757,3872,-0.4117494461,376509781.6499991417
-0.3000000000,-0.2000000000,-3,22813,7517,-0.1562617486,376052828.4600018859
0.9000000000,1.0000000000,9,20115,359,-0.2115997374,331682449.7399988770
0.0000000000,0.1000000000,0,19176,2603,-0.4678398670,316342512.9499987364
-0.4000000000,-0.3000000000,-4,18058,7245,0.0016955255,297124593.0499993563
-0.5000000000,-0.4000000000,-5,15237,6697,0.1454660995,251676391.2799998820
1.0000000000,1.1000000000,10,13502,292,-0.5436369799,223237611.1800005138
-0.6000000000,-0.5000000000,-6,12765,6283,0.2745293756,211000819.4999994040
1.7000000000,1.8000000000,17,11983,231,-0.7119426126,198613420.4499997497
0.1000000000,0.2000000000,1,11121,2227,-0.3737493352,183851900.6000002623
-0.9000000000,-0.8000000000,-9,10503,9252,0.7753481516,174205819.0399990976
-0.8000000000,-0.7000000000,-8,10381,8333,0.6837633399,171128566.4100004137
-0.7000000000,-0.6000000000,-7,10266,6923,0.4985921093,169027350.2100005746
0.2000000000,0.3000000000,2,10086,1949,-0.3502898060,166878811.4600006044
0.8000000000,0.9000000000,8,9021,470,-0.2855816646,148789214.8900002837
1.6000000000,1.7000000000,16,8650,201,-0.6412457963,143136843.2599993348
0.3000000000,0.4000000000,3,7590,3074,0.1173525846,125852825.1599998474
-1.0000000000,-0.9000000000,-10,7584,6718,0.8119645567,125120508.9900001138
1.8000000000,1.9000000000,18,7571,338,-0.8763800218,124661249.4900003970
-1.1000000000,-1.0000000000,-11,5796,5124,0.7780268331,95221145.7100001276
0.7000000000,0.8000000000,7,5057,863,-0.1435609768,84067621.5400002897
1.1000000000,1.2000000000,11,4773,242,-0.6108638718,78453504.5799999833
-1.2000000000,-1.1000000000,-12,4683,4308,0.9512468967,77485084.5599999428
1.5000000000,1.6000000000,15,4615,134,-0.7050647153,76425645.7999997884
0.6000000000,0.7000000000,6,4386,1320,0.0585228478,72351740.5299997926
0.4000000000,0.5000000000,4,4265,1422,0.1152911795,70133690.6500000209
-1.8000000000,-1.7000000000,-18,4016,3991,1.1954492439,66493495.9999999106
0.5000000000,0.6000000000,5,3808,1183,0.1301773861,63250638.0600000247
-2.0000000000,-1.9000000000,-20,3383,3362,1.5802862207,55879911.7300000638
-1.9000000000,-1.8000000000,-19,3089,3067,1.8130171019,50819572.1600001231
-1.6000000000,-1.5000000000,-16,3022,2962,1.3586101567,49719179.0099999756
-1.5000000000,-1.4000000000,-15,2965,2891,1.1273826948,49055595.3500000238
1.2000000000,1.3000000000,12,2806,77,-0.6710936232,46318571.1499999613
-1.3000000000,-1.2000000000,-13,2762,2585,0.8653573409,45651324.6900000200
-1.7000000000,-1.6000000000,-17,2762,2733,1.4310959954,45597319.2900000662
-2.5000000000,-2.4000000000,-25,2442,2435,0.9662590983,40219037.1800000966
-1.4000000000,-1.3000000000,-14,2398,2272,1.0274013421,39425201.8799999580
1.4000000000,1.5000000000,14,2331,68,-0.6663386197,38574320.7700000927
1.9000000000,2.0000000000,19,2330,233,-0.8659840701,38275482.8400000259
-2.6000000000,-2.5000000000,-26,1877,1875,0.8893325877,30876602.9900000282
-2.1000000000,-2.0000000000,-21,1882,1865,1.3128770726,30863417.9399999827
-2.4000000000,-2.3000000000,-24,1874,1864,1.0319597552,30852674.3000000045
1.3000000000,1.4000000000,13,1868,52,-0.6550980957,30827624.4700000472
-2.3000000000,-2.2000000000,-23,1497,1487,1.1575231277,24749820.0299999788
-2.2000000000,-2.1000000000,-22,1483,1469,1.2276686817,24717123.2599999905
2.0000000000,2.1000000000,20,1309,93,-1.0262005886,21196910.1199999712
-2.7000000000,-2.6000000000,-27,451,446,0.8516348854,7595350.1699999990
-2.8000000000,-2.7000000000,-28,7,5,0.0119655153,129800.5400000000
-3.5000000000,-3.4000000000,-35,1,1,0.6277593071,22351.0200000000
